f,l,l0
1.0,-22.6721377317547,-22.707463739741854
2.0,-21.683479364682753,-21.766646304267333
3.0,-21.401756039900075,-21.543664106000946
4.0,-21.212510118795123,-21.434179393773665
5.0,-21.025647714704725,-21.351051497740578
6.0,-20.816406741617833,-21.27191291325788
7.0,-20.57419391577007,-21.189032397903908
8.0,-20.29211127136049,-21.099223018517762
9.0,-19.963841542081504,-21.001025021385495
10.0,-19.582360837498182,-20.89373429068548
11.0,-19.139191362463794,-20.77701263614291
12.0,-18.6238303812522,-20.65071216057726
13.0,-18.02326259369563,-20.51478812843007
14.0,-17.32159360080553,-20.369251930118676
15.0,-16.499983134555443,-20.214143617377275
16.0,-15.537324404542405,-20.049514605834105
17.0,-14.412737736956618,-19.875415947393982
18.0,-13.11247371634503,-19.691889793538117
19.0,-11.647373747310148,-19.498962751784184
20.0,-10.09293004937323,-19.296640388116252
21.0,-8.658628824268586,-19.0849024181951
22.0,-7.7127285677555815,-18.863698286167804
23.0,-7.551786605955933,-18.632942913907844
24.0,-8.062907108399187,-18.392512446962456
25.0,-8.873655003680227,-18.142239842631458
26.0,-9.70077262889003,-17.881910148831498
27.0,-10.41992884698499,-17.61125531373755
28.0,-10.998093725364555,-17.32994834704791
29.0,-11.439252987596182,-17.03759662368666
30.0,-11.759062776259652,-16.733734077904984
31.0,-11.974945042336849,-16.41781197652491
32.0,-12.10265895184547,-16.089187878920374
33.0,-12.155378124369156,-15.747112279864941
34.0,-12.143681054058623,-15.39071227701937
35.0,-12.075833131414011,-15.018971388549655
36.0,-11.958122536617392,-14.630704338851888
37.0,-11.795163644817656,-14.224525185531569
38.0,-11.590140761259129,-13.798806504359469
39.0,-11.344986931807377,-13.351626357696704
40.0,-11.060499014102305,-12.88069823466974
41.0,-10.736389735681156,-12.383276692119088
42.0,-10.371273133738404,-11.856027343477802
43.0,-9.962571761600055,-11.294842760489178
44.0,-9.506320164129647,-10.694572873526205
45.0,-8.99681317938446,-10.048612953142067
46.0,-8.425993346821437,-9.348237277459381
47.0,-7.782340652871488,-8.581431538250229
48.0,-7.048639899789099,-7.730572155322408
49.0,-6.196396779331601,-6.7666037811563
50.0,-5.163648021203809,-5.625503850931225
51.0,-3.795360631417359,-4.146469969671117
52.0,-1.8946540397770806,-2.1355583541449823
53.0,0.6256765553158,0.4801031382241068
54.0,3.5027382744158313,3.42351945147698
55.0,6.255210173771402,6.215577172863773
56.0,8.502745969677717,8.485432291256831
57.0,10.040758845761674,10.033344639456303
58.0,10.928089592389657,10.92470946200157
59.0,11.35612778251867,11.352841764553148
60.0,11.659546560880912,11.657815059427621
61.0,11.772028672590238,11.770685047460427
62.0,11.4701869857017,11.4691059374147
63.0,10.360328597134226,10.351311767363478
64.0,8.376063772063931,8.346524683796162
65.0,5.85068988961981,5.788634499562191
66.0,3.0243107451094646,2.9036396846432777
67.0,0.3149612597926992,0.09549826402058229
68.0,-1.879466564244606,-2.2353321545309077
69.0,-3.4592378330435594,-3.96419939948037
70.0,-4.580270513180292,-5.230438443717204
71.0,-5.433855713357926,-6.229517857978591
72.0,-6.132706111437609,-7.082105392377246
73.0,-6.71934012383812,-7.832025329012437
74.0,-7.21762946117376,-8.502714111011256
75.0,-7.643611154421937,-9.109249885291291
76.0,-8.008969771377313,-9.662192910353989
77.0,-8.322648112070882,-10.169317898968586
78.0,-8.59172982677866,-10.636542544453322
79.0,-8.821970431358135,-11.068478230333039
80.0,-9.018137205789621,-11.468779311334078
81.0,-9.184237207759715,-11.840375481854677
82.0,-9.323676226103277,-12.185631924735922
83.0,-9.439373294447552,-12.506462619179741
84.0,-9.533845578710654,-12.804412015985783
85.0,-9.609272873003883,-13.080714581268818
86.0,-9.667547627008343,-13.336338339173018
87.0,-9.710314393017011,-13.572016465608613
88.0,-9.73900129216487,-13.788269653567953
89.0,-9.75484525955508,-13.985421086631415
90.0,-9.758912263516548,-14.163605248936285
91.0,-9.752113300011992,-14.322771364480488
92.0,-9.735216673024167,-14.462681932433586
93.0,-9.708856841635495,-14.582906566802595
94.0,-9.673539912983694,-14.682811129998543
95.0,-9.629645661924936,-14.761541949415168
96.0,-9.577425739083914,-14.818004706207088
97.0,-9.516997462250067,-14.850837368326788
98.0,-9.44833223754865,-14.858376284831705
99.0,-9.371237178509071,-14.838614237841444
100.0,-9.285327812132149,-14.789148822114145
101.0,-9.189988772868471,-14.70711892874776
102.0,-9.08431791854328,-14.589126253161247
103.0,-8.967047087250764,-14.431137476314715
104.0,-8.836429316879817,-14.228360839171724
105.0,-8.690077061532302,-13.975087853271662
106.0,-8.524727598716579,-13.664486235018742
107.0,-8.335898510866253,-13.288322799721081
108.0,-8.11737470444314,-12.836583364556752
109.0,-7.8604338855506874,-12.296938101817922
110.0,-7.552662279695166,-11.653971437315962
111.0,-7.17612768937205,-10.888051057268108
112.0,-6.704560790171419,-9.97365136761595
113.0,-6.099093859181934,-8.87690759937631
