x1,y1,x2,y2,x3,y3,x4,y4
1.279812543885835e-12,9.865876450376944e-10,6.22096057427174e-16,9.865876450376944e-10,1.1285884059538324e-19,9.865876450376944e-10,7.619853024160474e-24,9.865876450376944e-10
2.0358040323716835e-12,1.472155342297825e-09,1.0988374115128074e-15,1.5179216339169207e-09,2.236096681209758e-19,1.5650721518557908e-09,1.7106568606488545e-23,1.613647536157415e-09
3.2248284637379622e-12,2.187577954854934e-09,1.9314845438599863e-15,2.3241608199202464e-09,4.405618765679023e-19,2.4690281569654447e-09,3.8159146244275845e-23,2.62266694363086e-09
5.086966715743913e-12,3.237175511405138e-09,3.3785578908359995e-15,3.5415000046805285e-09,8.631475730548465e-19,3.873575857477904e-09,8.457738425666312e-23,4.2358513760274154e-09
7.990857880962583e-12,4.7704864421391515e-09,5.8810429164555e-15,5.370487329614462e-09,1.6816107286154198e-18,6.043573834315422e-09,1.8626451692114557e-22,6.798343454413149e-09
1.2500021770019346e-11,7.000897579873777e-09,1.0187338333647604e-14,8.10488191255044e-09,3.2578316858284376e-18,9.377191601297779e-09,4.0759301118361195e-22,1.0842566014858375e-08
1.9472047422756195e-11,1.0231525122486651e-08,1.756107360013184e-14,1.2172714484936046e-08,6.2761753401911e-18,1.4469396997623854e-08,8.862260084278127e-22,1.718420581566872e-08
3.0206235578049764e-11,1.4890990944259987e-08,3.0124921003335953e-14,1.8194376136942207e-08,1.2023343392572847e-17,2.220385100576791e-08,1.914625661127573e-21,2.7064323143519986e-08
4.666232740589808e-11,2.1582632084794404e-08,5.142637038530786e-14,2.7064323143519986e-08,2.290444166055816e-17,3.388503992943231e-08,4.110033378837738e-21,4.2358166620395764e-08
7.178301208121762e-11,3.115184962820135e-08,8.736380287922586e-14,4.0065333270967784e-08,4.338893342852611e-17,5.142699817727006e-08,8.7665636695254e-21,6.587967610087356e-08
1.099671960403652e-10,4.477782144237423e-08,1.4769422006133963e-13,5.902735168624058e-08,8.17341574607197e-17,7.762105327305032e-08,1.857960570923066e-20,1.018221317639053e-07
1.6776120578984356e-10,6.409776342964436e-08,2.484748343857976e-13,8.654703472603919e-08,1.531066709461255e-16,1.1651312152552612e-07,3.91261537686885e-20,1.5639092024829205e-07
