x,lambda
1,91435.34214496001
2,9101.752250302992
3,2533.4339813746565
4,2529.753865238479
5,2518.854683410129
6,2218.9179444318693
7,2035.6462684519593
8,1023.3276858978088
9,939.2626863856326
10,920.7531522380846
11,888.5278327806475
12,873.5603171913943
13,847.1149948412033
14,831.7026088625502
15,798.9790380539079
16,631.1575018946655
17,617.5544108952147
18,615.8906235517607
19,584.9297023843925
20,571.9884548250486
21,570.4884881589522
22,567.4057698182903
23,565.241326630446
24,520.4348855837123
25,513.3833127566647
26,492.0925557962405
27,460.0327546950753
28,457.23638273880607
29,438.3715448231513
30,394.8205895417294
31,379.5461117907098
32,369.72414039076466
33,357.84679497208276
34,354.0384620369354
35,347.33843159621546
36,343.2564332591469
37,343.1124337401736
38,339.3854630126797
39,336.29787480789497
40,322.5444392256354
41,316.9869487420113
42,303.957333816233
43,297.3409300397585
44,289.65365799975643
45,287.6043031398089
46,278.1199880022199
47,256.85450214897986
48,253.80634560347156
49,248.66482563673853
50,244.11455754596395
51,241.64590371680586
52,239.04735859183353
53,236.27966407527308
54,232.71010773469334
55,215.99822636275223
56,215.93637751932314
57,215.579402622208
58,213.95357258265955
59,211.03846946584974
60,208.7159870557663
61,207.70975219473334
62,206.82903386876407
63,205.46249195836668
64,204.12977814975898
65,201.0671274259014
66,200.12763973038128
67,194.0165256360185
68,192.94262975357867
69,189.581285935211
70,187.10092501043357
71,186.97170659947506
72,185.04690643026024
73,180.66798945754823
74,178.42193302836355
75,175.67341733021857
76,174.5268098081552
77,173.5394371913193
78,172.41026513765
79,167.63306414259088
80,167.26422984312376
81,161.57690882384455
82,157.98093401643925
83,153.81595004277176
84,150.65643637301574
85,150.38857461009374
86,150.18598816982666
87,149.739487006672
88,149.15268938844196
89,147.6983449586979
90,143.42387153167948
91,142.1274915526033
92,140.52426877314718
93,133.92157767759068
94,133.13729282165423
95,132.41616475401656
96,126.38702903541424
97,125.48052498672818
98,120.42862987313333
99,118.00460042198128
100,117.47925778119009
101,116.31933333056199
102,115.94018366216659
103,114.82535605531213
104,113.97872611023604
105,113.78280513772202
106,112.4971895360043
107,110.78087770767812
108,110.48770666191952
109,110.1207386513659
110,107.93899704035724
111,106.75950804917667
112,106.67843421355006
113,106.41966832544027
114,104.22436910827068
115,99.85764127252376
116,99.62685088948041
117,96.70487486355718
118,95.47878692441137
119,94.40348422635917
120,92.51298402246447
121,92.37946369262745
122,91.77620337496523
123,90.95409121534948
124,90.44286819885436
125,89.04235203292062
126,89.01221659284843
127,88.91449835620485
128,88.52335745232938
129,88.21219646430245
130,87.97156614261925
131,87.8878716672823
132,87.81388995216456
133,87.11405079412911
134,87.10468750845192
135,87.08384635602062
136,87.00882355670832
137,86.32786839411075
138,83.64338001584362
139,83.37675736543684
140,82.26639693041538
141,78.40756189364242
142,78.05562372039495
143,77.46633656038883
144,76.9124190957252
145,76.82471687291532
146,76.62717511029422
147,76.48385438774481
148,74.74643094001193
149,74.0605191453584
150,73.49331002191884
151,73.19058470577207
152,73.0172954447867
153,72.40891176944127
154,72.390300186127
155,72.03198400856185
156,71.83366912666493
157,71.6810227568836
158,71.66507869965456
159,70.91555430634332
160,70.4171121678843
161,70.41138775849694
162,70.01270313938304
163,69.07112488106766
164,68.84015724474482
165,68.673275117861
166,68.51554552363645
167,68.44451098656947
168,68.21914246555072
169,67.99002125618232
170,67.87746777533589
171,67.84535089103971
172,67.28712205748856
173,66.05763606073165
174,62.04793494260826
175,61.92106490741924
176,61.91037767964946
177,61.63662209704101
178,61.60280929961033
179,60.89578294180659
180,60.586390696689826
181,60.314949682794186
182,59.304323409772344
183,59.26693087520753
184,58.47914559352914
185,57.68988063454476
186,57.015744479610724
187,56.19388640519173
188,56.142283128578164
189,56.083819780965506
190,54.96606580992349
191,54.5758907973557
192,50.146043888420024
193,48.693626376605806
194,45.459679682137576
195,44.349892493758915
196,43.47488566557942
197,40.29481022385066
198,34.99662572825094
199,30.977734369990408
200,21.38440770735036
